date,state,dead
2019-08,Oregon,2912
2019-08,Pennsylvania,10647
2019-08,Rhode Island,815
2019-08,South Carolina,4093
2019-08,South Dakota,716
2019-08,Tennessee,5807
2019-08,Texas,16342
2019-08,Utah,1476
2019-08,Vermont,460
2019-08,Virginia,5722
2019-08,Washington,4545
2019-08,West Virginia,1801
2019-08,Wisconsin,4428
2019-08,Wyoming,381
2019-09,Alabama,4171
2019-09,Alaska,364
2019-09,Arizona,4754
2019-09,Arkansas,2573
2019-09,California,20671
2019-09,Colorado,3096
2019-09,Connecticut,2396
2019-09,Delaware,792
2019-09,District of Columbia,415
2019-09,Florida,16121
2019-09,Georgia,6805
2019-09,Hawaii,944
2019-09,Idaho,1139
2019-09,Illinois,8611
2019-09,Indiana,5187
2019-09,Iowa,2408
2019-09,Kansas,2229
2019-09,Kentucky,3846
2019-09,Louisiana,3556
2019-09,Maine,1181
2019-09,Maryland,3868
2019-09,Massachusetts,4524
2019-09,Michigan,7802
2019-09,Minnesota,3651
2019-09,Mississippi,2563
2019-09,Missouri,4931
2019-09,Montana,836
2019-09,Nebraska,1335
2019-09,Nevada,2014
2019-09,New Hampshire,997
2019-09,New Jersey,5748
2019-09,New Mexico,1577
2019-09,New York,12025
2019-09,North Carolina,7500
